EfficientKAN_32,EfficientKAN_16,MLP_256,MLP_512,MLP_512_256,FasterKAN_32,FasterKAN_128_128,FasterKAN_128_64,FasterKAN_64_64,MLP_256_256,MLP_256_128
118,5,2,5,62,14,295,11,65,196,79
116,1,4,4,488,2,25,48,2,425,67
147,3,1,1,512,11,37,0,140,38,20
48,1,5,13,2468,7,124,9,2,176,5
35,3,5,2,818,2,3,2,40,86,98
1,11,10,7,350,2,871,14,200,80,62
86,1,6,13,59,29,1111,0,70,494,92
46,4,5,0,833,56,37,0,1,280,4
116,16,2,16,530,18,184,0,1,143,41
41,3,3,4,1349,35,106,28,20,4,23
24,19,10,5,173,25,79,37,38,235,95
25,5,5,52,1007,8,166,0,38,58,31
16,41,7,1,311,82,295,17,4,167,56
15,1,17,0,50,35,463,55,24,68,26
117,12,2,14,116,3,81,0,8,91,218
19,4,3,2,191,31,628,54,96,304,14
27,11,5,1,1559,11,79,0,69,283,1
11,22,5,2,590,22,247,0,4,37,98
88,1,2,2,1880,74,40,0,22,131,95
37,8,1,34,902,16,796,0,10,59,47
238,1,3,10,470,38,46,0,79,4,4
1,1,1,4,821,15,451,23,21,80,50
145,11,25,26,116,83,16,18,16,122,8
304,4,1,4,509,22,520,0,23,2,41
23,7,3,1,674,65,241,0,102,182,1
157,7,16,25,539,14,1018,11,67,296,26
244,9,14,13,305,32,814,43,73,5,17
17,14,4,0,272,20,100,55,4,35,10
204,1,10,5,1031,49,137,26,8,37,38
4,1,2,11,752,14,3,15,59,356,35
19,2,5,7,671,2,358,0,6,37,77
11,10,32,15,4,13,670,47,59,41,91
194,9,2,14,1934,23,835,22,47,11,1
113,3,2,2,1484,7,13,18,1,98,101
4,2,2,28,470,20,757,19,71,241,2
184,7,3,0,350,32,76,0,6,212,152
20,4,1,23,305,15,322,0,20,80,35
344,1,2,7,512,40,16,6,26,31,44
133,2,1,4,125,17,124,16,55,4,113
91,1,2,17,1829,8,337,0,21,475,2
19,7,5,2,97,2,193,69,155,58,134
170,5,12,5,242,17,259,0,8,298,1
8,2,8,1,386,5,133,13,58,193,80
105,1,7,23,277,26,319,22,44,83,77
14,2,1,35,160,47,145,0,8,35,80
9,10,4,5,1085,38,193,7,105,35,160
60,2,5,5,850,45,1597,6,84,172,145
104,3,20,3,1133,40,325,2,83,152,26
85,2,5,5,1822,65,145,7,145,34,61
140,5,2,13,823,17,580,33,2,220,2
104,2,1,7,5404,13,232,28,1,14,41
178,1,16,5,569,19,1870,39,58,85,20
12,4,8,10,68,19,166,0,79,121,74
74,1,10,2,1262,14,298,12,13,110,41
52,2,9,20,401,14,253,8,49,8,2
1,7,5,0,230,11,784,24,16,86,14
20,9,17,14,53,10,82,72,52,56,4
5,17,2,5,1295,121,91,0,26,83,11
32,13,14,6,32,62,43,87,1,89,77
101,11,5,17,4,35,250,0,3,206,62
7,1,2,22,734,23,94,2,12,203,38
36,2,3,2,2198,9,82,18,38,280,67
37,16,2,1,1340,14,532,13,7,196,167
38,4,2,34,446,11,214,21,28,439,62
92,4,16,4,293,5,97,14,149,103,1
71,15,2,13,542,17,73,40,101,158,179
144,2,4,29,1292,8,160,58,41,25,3
34,4,8,34,1340,20,111,0,111,50,98
77,20,3,0,812,8,892,9,104,7,61
16,1,6,7,341,17,176,12,2,184,32
59,5,25,7,152,47,256,0,2,5,26
34,5,2,44,281,43,109,21,68,169,4
73,10,2,7,65,35,790,8,97,439,40
26,6,4,11,1433,23,346,34,56,335,1
83,10,5,10,1340,21,46,30,1,73,49
116,22,14,22,278,50,475,0,57,152,61
37,1,11,11,1684,5,649,12,71,37,17
298,1,11,0,670,3,175,21,11,19,124
16,1,9,2,185,29,361,6,46,58,62
51,8,3,4,377,10,49,2,79,383,113
110,7,7,2,509,10,301,0,67,76,20
164,12,2,14,256,8,55,32,17,17,17
63,1,1,11,599,46,574,14,1,77,44
44,4,3,1,272,5,250,0,29,71,44
289,5,2,0,2078,11,55,0,23,28,65
28,6,4,1,2600,6,47,0,95,59,35
53,1,5,23,761,17,103,2,55,50,74
61,1,5,2,677,58,199,14,46,131,5
12,1,5,5,104,21,115,0,1,188,14
56,4,8,16,3008,10,268,0,43,89,14
116,2,2,4,1082,44,516,36,14,181,8
115,1,4,2,158,11,232,53,1,467,34
23,4,2,5,80,10,424,39,137,257,6
73,5,5,1,910,16,885,0,53,178,26
95,2,3,7,806,6,325,54,35,179,1
19,3,2,20,281,53,79,36,4,122,17
89,7,11,7,878,14,131,52,39,133,1
61,2,1,4,689,50,109,19,20,184,29
23,13,1,5,713,20,460,0,94,202,62
67,1,1,8,1346,65,529,5,176,119,26
49,7,16,1,173,7,823,0,4,22,32
125,8,1,1,134,2,58,10,92,178,22
9,1,14,3,776,2,136,18,13,308,56
14,2,14,18,1652,65,7,22,38,74,41
65,4,1,4,1910,11,84,9,6,50,4
91,7,2,1,1319,44,933,15,67,251,1
130,1,28,5,62,35,631,0,1,151,17
56,2,8,0,164,35,379,65,28,83,32
232,1,9,0,17,8,259,120,4,25,50
82,1,1,35,1262,17,760,29,5,14,14
53,1,1,22,179,5,619,88,23,29,26
65,7,1,9,1709,8,631,32,59,412,62
160,5,16,5,2156,14,280,23,92,101,86
184,1,11,2,749,7,16,12,240,59,5
4,4,1,23,650,5,202,0,29,134,164
32,6,1,13,1886,34,139,5,110,263,20
49,5,2,14,329,4,109,54,8,83,13
355,3,2,2,1526,4,1258,8,8,322,26
91,2,10,7,158,77,253,0,6,104,62
48,6,2,10,1442,16,412,33,2,130,26
1,5,1,13,3629,6,133,24,11,59,49
101,6,2,35,50,14,802,9,4,311,49
38,5,13,16,2138,5,406,0,143,449,68
65,1,5,26,254,10,13,0,41,26,97
1,1,23,13,446,26,43,0,12,115,35
56,4,2,10,1051,16,94,6,28,32,43
128,6,2,1,29,11,178,15,53,221,1
32,4,1,8,2873,14,334,0,2,107,17
10,1,10,16,1316,16,298,2,140,140,1
141,2,2,3,788,10,771,42,46,131,113
159,5,7,35,137,13,15,0,22,145,35
46,1,1,1,1270,28,151,0,64,79,1
107,1,2,13,473,5,478,0,15,250,40
142,16,1,3,269,13,52,7,58,85,2
22,4,5,32,164,2,733,0,50,26,26
78,1,16,4,532,29,10,4,17,271,65
202,1,12,5,86,26,553,0,19,91,38
1,7,6,35,1487,63,502,25,2,82,1
179,2,2,25,155,30,19,20,23,76,119
2,1,5,3,314,5,109,0,68,206,38
45,1,16,10,1598,9,190,1,71,253,164
149,2,5,3,1010,11,196,0,1,187,266
155,8,2,14,1541,20,49,29,53,13,86
95,1,13,5,337,38,424,0,152,65,7
138,4,2,11,4,20,67,13,1,250,2
49,6,8,1,971,2,1111,0,172,119,38
65,2,14,13,197,11,121,52,20,59,44
25,5,2,26,1055,2,178,2,191,212,1
98,1,2,1,626,33,46,28,20,22,196
17,2,2,17,1460,58,205,0,49,389,17
50,4,5,5,143,8,355,0,4,287,2
119,1,5,22,1283,25,226,0,87,122,106
77,20,5,8,1778,8,145,37,20,125,19
19,1,6,2,1691,11,310,0,115,68,74
47,28,2,14,272,47,487,15,2,83,14
14,2,8,55,22,83,52,5,28,223,37
37,16,7,16,200,14,19,0,50,130,61
410,1,19,10,2473,52,784,17,20,52,65
107,11,5,8,20,11,226,67,70,142,2
5,1,2,10,170,13,665,0,124,68,59
165,5,6,5,164,32,21,0,53,188,1
44,4,22,11,481,63,307,11,11,34,44
10,5,19,14,245,5,2299,24,14,77,101
119,19,4,2,914,86,31,17,32,76,58
104,7,2,16,3086,26,21,8,32,22,134
149,11,5,1,434,39,204,0,79,205,44
1,7,17,5,1865,6,460,12,13,400,13
64,13,5,5,635,11,517,2,42,47,32
1,5,5,16,8,6,214,0,97,136,50
166,3,1,8,194,40,181,35,8,83,110
16,5,2,7,59,41,68,8,20,221,193
46,2,4,25,493,7,172,18,8,124,14
119,1,3,1,2110,62,100,57,74,131,14
15,19,5,8,1307,17,55,80,8,140,1
17,1,14,11,1622,8,367,0,2,11,8
219,2,7,55,3658,5,913,0,1,16,23
110,8,4,14,710,20,170,0,20,127,101
29,2,11,16,13,44,4,21,4,7,95
41,11,8,62,5633,13,273,0,17,4,80
69,6,5,20,2327,16,13,10,5,142,4
31,17,2,16,770,11,142,0,112,23,35
1,5,6,1,113,74,250,5,46,104,23
56,1,3,5,146,52,55,54,16,28,30
121,2,5,10,1178,17,370,0,11,34,176
41,11,2,17,826,25,22,29,117,59,13
68,2,3,11,44,5,352,0,58,473,154
25,1,5,11,230,14,61,5,82,91,145
25,7,7,9,605,6,460,6,65,118,26
299,7,5,17,496,11,268,37,29,671,1
1,1,4,5,1700,8,223,0,130,11,11
294,13,14,44,1619,14,49,18,101,179,32
43,1,1,38,242,37,52,2,31,95,4
25,2,3,2,413,8,7,46,27,121,11
27,14,11,44,230,8,180,2,10,53,29
326,5,5,2,392,1,211,44,200,107,149
74,1,10,20,83,11,10,0,4,43,113
32,12,8,1,721,43,178,4,17,152,23
155,4,2,53,14,44,487,0,6,52,2
